Protocol: HTTP, Network type: EDGE, Packet size: 0 bytes, Number of packets: 50, Request interval: 2000 ms, Average request time: 458.0 ms, Median request time: 443.5 ms, Minimum request time: 421 ms, Maximum request time: 562 ms, Quartile deviation: 22.25 ms
Response time [ms],Signal strength [dBm],Longitude: ,Latitude: 
"456","-65","16.944298","52.431843"
"439","-65","16.944298","52.431843"
"459","-65","16.944298","52.431843"
"438","-65","16.944298","52.431843"
"460","-65","16.944298","52.431843"
"438","-65","16.944298","52.431843"
"451","-65","16.944298","52.431843"
"430","-65","16.944298","52.431843"
"469","-65","16.944298","52.431843"
"450","-65","16.944298","52.431843"
"429","-65","16.944298","52.431843"
"429","-65","16.944298","52.431843"
"484","-65","16.944298","52.431843"
"428","-65","16.944298","52.431843"
"431","-65","16.944298","52.431843"
"427","-65","16.944298","52.431843"
"427","-65","16.944298","52.431843"
"506","-65","16.944298","52.431843"
"424","-65","16.944298","52.431843"
"504","-65","16.944298","52.431843"
"484","-65","16.944298","52.431843"
"562","-65","16.944298","52.431843"
"541","-65","16.944298","52.431843"
"558","-65","16.944298","52.431843"
"558","-65","16.944298","52.431843"
"477","-65","16.944298","52.431843"
"436","-65","16.944298","52.431843"
"476","-65","16.944298","52.431843"
"432","-65","16.944298","52.431843"
"479","-65","16.944298","52.431843"
"435","-65","16.944298","52.431843"
"443","-65","16.944298","52.431843"
"501","-65","16.944298","52.431843"
"506","-65","16.944298","52.431843"
"423","-65","16.944298","52.431843"
"442","-65","16.944298","52.431843"
"421","-65","16.944298","52.431843"
"423","-65","16.944298","52.431843"
"439","-65","16.944298","52.431843"
"442","-65","16.944298","52.431843"
"458","-65","16.944298","52.431843"
"438","-65","16.944298","52.431843"
"457","-65","16.944298","52.431843"
"456","-65","16.944298","52.431843"
"459","-65","16.944298","52.431843"
"435","-65","16.944298","52.431843"
"444","-65","16.944298","52.431843"
"423","-65","16.944298","52.431843"
"438","-65","16.944298","52.431843"
"476","-65","16.944298","52.431843"
