Protocol: HTTP, Network type: LTE, Packet size: 0 bytes, Number of packets: 50, Request interval: 2000 ms, Average request time: 197.0 ms, Median request time: 208.0 ms, Minimum request time: 146 ms, Maximum request time: 321 ms, Quartile deviation: 31.625 ms
Response time [ms],Signal strength [dBm],Longitude: ,Latitude: 
"158","-97","16.94451","52.431713"
"170","-96","16.94451","52.431713"
"254","-98","16.94451","52.431713"
"158","-98","16.94451","52.431713"
"155","-98","16.94451","52.431713"
"206","-97","16.94451","52.431713"
"156","-97","16.94451","52.431713"
"151","-97","16.94451","52.431713"
"151","-97","16.94451","52.431713"
"148","-97","16.94451","52.431713"
"164","-97","16.94451","52.431713"
"147","-97","16.94451","52.431713"
"151","-97","16.94451","52.431713"
"147","-96","16.94451","52.431713"
"146","-97","16.94451","52.431713"
"148","-97","16.94451","52.431713"
"146","-97","16.94451","52.431713"
"147","-97","16.94451","52.431713"
"155","-97","16.94451","52.431713"
"223","-96","16.94451","52.431713"
"321","-97","16.94451","52.431713"
"249","-97","16.94451","52.431713"
"221","-97","16.94451","52.431713"
"220","-97","16.94451","52.431713"
"224","-97","16.94451","52.431713"
"219","-97","16.94451","52.431713"
"219","-97","16.94451","52.431713"
"218","-97","16.94451","52.431713"
"218","-97","16.94451","52.431713"
"218","-97","16.94451","52.431713"
"206","-97","16.94451","52.431713"
"159","-97","16.94451","52.431713"
"209","-97","16.94451","52.431713"
"213","-97","16.94451","52.431713"
"245","-97","16.94451","52.431713"
"217","-97","16.94451","52.431713"
"199","-97","16.94451","52.431713"
"234","-97","16.94451","52.431713"
"215","-97","16.94451","52.431713"
"208","-97","16.94451","52.431713"
"208","-97","16.94451","52.431713"
"208","-97","16.94451","52.431713"
"207","-97","16.94451","52.431713"
"211","-97","16.94451","52.431713"
"232","-97","16.94451","52.431713"
"226","-97","16.94451","52.431713"
"219","-97","16.94451","52.431713"
"219","-97","16.94451","52.431713"
"194","-97","16.94451","52.431713"
"215","-97","16.94451","52.431713"
