Protocol: HTTP, Network type: HSPA+, Packet size: 0 bytes, Number of packets: 50, Request interval: 2000 ms, Average request time: 192.0 ms, Median request time: 187.5 ms, Minimum request time: 158 ms, Maximum request time: 265 ms, Quartile deviation: 19.25 ms
Response time [ms],Signal strength [dBm],Longitude: ,Latitude: 
"201","-65","16.944298","52.431843"
"241","-65","16.944298","52.431843"
"197","-65","16.944298","52.431843"
"158","-65","16.944298","52.431843"
"186","-65","16.944298","52.431843"
"161","-65","16.944298","52.431843"
"161","-67","16.944298","52.431843"
"172","-67","16.944298","52.431843"
"159","-69","16.944298","52.431843"
"187","-69","16.944298","52.431843"
"159","-69","16.944298","52.431843"
"164","-69","16.944298","52.431843"
"216","-69","16.944298","52.431843"
"211","-69","16.944298","52.431843"
"199","-67","16.944298","52.431843"
"173","-67","16.944298","52.431843"
"173","-67","16.944298","52.431843"
"197","-67","16.944298","52.431843"
"160","-67","16.944298","52.431843"
"210","-65","16.944298","52.431843"
"175","-65","16.944298","52.431843"
"194","-65","16.944298","52.431843"
"201","-65","16.944298","52.431843"
"162","-65","16.944298","52.431843"
"182","-65","16.944298","52.431843"
"186","-65","16.944298","52.431843"
"265","-65","16.944298","52.431843"
"220","-65","16.944298","52.431843"
"220","-65","16.944298","52.431843"
"208","-65","16.944298","52.431843"
"209","-65","16.944298","52.431843"
"251","-65","16.944298","52.431843"
"264","-65","16.944298","52.431843"
"213","-65","16.944298","52.431843"
"216","-65","16.944298","52.431843"
"195","-65","16.944298","52.431843"
"188","-65","16.944298","52.431843"
"182","-65","16.944298","52.431843"
"173","-65","16.944298","52.431843"
"184","-65","16.944298","52.431843"
"161","-65","16.944298","52.431843"
"237","-65","16.944298","52.431843"
"173","-67","16.944298","52.431843"
"171","-67","16.944298","52.431843"
"183","-67","16.944298","52.431843"
"162","-67","16.944298","52.431843"
"214","-67","16.944298","52.431843"
"208","-67","16.944298","52.431843"
"159","-65","16.944298","52.431843"
"203","-65","16.944298","52.431843"
